FECHA,CORREO,RAZON_SOCIAL,NUMERO_RUC,NOMBRE_ESTABLECIMIENTO,HC2-Fuente,HC2-Tipo_combustible,HC2-Cantidad_toneladas,HC2-Densidad_KgL
6/10/2025 11:15:54,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,Establecimiento_1_6322,Maquinaria,Carbon,476.83,1.1
6/10/2025 11:15:54,ramosklembert.07@gmail.com,EMPRESA METAL MECANICA S.A,20100276322,Establecimiento_1_6322,Caldera,Coque,83.99,2.5
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_1_3372,Caldera,GLP,172.22,0.8
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_1_3372,Generador,GLP,190.97,1.1
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_2_3372,Horno,Diesel,476.36,0.8
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_2_3372,Caldera,Electricidad,270.82,1.1
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_3_3372,Maquinaria,GLP,304.85,1.1
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_3_3372,Caldera,Electricidad,354.98,1.0
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_4_3372,Horno,Diesel,312.32,1.1
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_4_3372,Caldera,Diesel,404.53,1.0
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_5_3372,Caldera,Electricidad,154.85,1.1
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_5_3372,Maquinaria,GLP,62.75,1.0
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_6_3372,Caldera,GLP,395.79,1.0
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_6_3372,Maquinaria,GLP,134.07,0.8
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_7_3372,Maquinaria,Electricidad,492.47,0.8
6/14/2025 8:10:16,aalvarado1512@gmail.com,Otass,20565423372,Establecimiento_7_3372,Caldera,Diesel,244.02,0.8
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_1_5667,Horno,Biomasa,105.49,0.5
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_1_5667,Caldera,Gas natural,414.46,0.9
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_2_5667,Caldera,Gas natural,139.5,1.2
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_2_5667,Maquinaria,Biomasa,341.61,0.9
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_3_5667,Maquinaria,Biomasa,353.84,1.2
6/18/2025 9:53:20,cruzllacsahuanga@gmail.com,Pesquera Hayduk SA,20136165667,Establecimiento_3_5667,Caldera,GLP,180.49,1.2
6/23/2025 9:35:52,raysareyesv@gmail.com,Energia Renovable del Sur ,20392847406,Establecimiento_1_7406,Horno,Diesel,424.18,1.1
